Date,Open,High,Low,Close,Adj Close,Volume
2024-12-01,3706.62,4106.96,3098.20,3332.53,3332.53,1118659048135
2024-11-01,2515.87,3739.93,2359.58,3705.71,3705.71,1029930619790
2024-10-01,2603.26,2765.55,2311.03,2515.80,2515.80,500885085548
2024-09-01,2513.42,2728.07,2150.86,2603.06,2603.06,438144022015
2024-08-01,3231.25,3241.78,2122.55,2513.39,2513.39,535770895767
2024-07-01,3432.61,3560.08,2826.01,3231.30,3231.30,496826192549
2024-06-01,3759.88,3887.49,3244.24,3432.89,3432.89,401807474721
2024-05-01,3011.02,3973.56,2815.92,3760.03,3760.03,494712697510
2024-04-01,3647.82,3727.62,2862.39,3012.29,3012.29,480678795896
2024-03-01,3341.97,4092.28,3059.65,3647.86,3647.86,670105166249
2024-02-01,2282.18,3518.97,2243.57,3341.92,3341.92,435402067623
2024-01-01,2282.87,2710.42,2113.93,2282.54,2282.54,365409742553
2023-12-01,2052.10,2445.02,2046.56,2281.47,2281.47,351655489427
2023-11-01,1815.87,2134.69,1779.64,2052.56,2052.56,315824566888
2023-10-01,1671.16,1866.10,1523.24,1816.46,1816.46,192662877051
2023-09-01,1645.58,1692.53,1533.43,1671.16,1671.16,134781867370
2023-08-01,1856.19,1877.51,1551.71,1645.64,1645.64,168678383229
2023-07-01,1933.32,2026.20,1832.03,1856.16,1856.16,177596680398
2023-06-01,1873.91,1945.27,1624.14,1933.19,1933.19,206194132396
2023-05-01,1868.89,2017.56,1742.40,1874.13,1874.13,202326166173
2023-04-01,1821.70,2137.45,1765.52,1876.92,1876.92,277179762298
2023-03-01,1606.04,1853.89,1378.53,1822.02,1822.02,302468060876
2023-02-01,1586.49,1732.80,1470.02,1605.90,1605.90,223749343195
2023-01-01,1196.71,1674.18,1192.89,1586.54,1586.54,224952954314
2022-12-01,1295.77,1346.17,1160.38,1196.77,1196.77,161130639970
2022-11-01,1572.65,1661.33,1081.14,1295.69,1295.69,421797905717
2022-10-01,1328.19,1652.38,1209.28,1572.71,1572.71,382071643030
2022-09-01,1553.76,1784.50,1229.43,1327.98,1327.98,496652295826
2022-08-01,1681.45,2022.79,1427.73,1553.68,1553.68,554162785316
2022-07-01,1068.32,1774.58,1019.22,1681.52,1681.52,534457515643
2022-06-01,1942.05,1965.17,896.11,1067.30,1067.30,562032668964
2022-05-01,2729.99,2956.69,1721.26,1942.33,1942.33,636271175493
2022-04-01,3282.58,3573.96,2727.41,2730.19,2730.19,493826441956
2022-03-01,2919.78,3470.19,2455.59,3281.64,3281.64,436852450559
2022-02-01,2687.90,3271.32,2308.91,2919.20,2919.20,416163449938
2022-01-01,3683.05,3876.79,2172.30,2688.28,2688.28,491108556504
2021-12-01,4623.68,4780.73,3525.49,3682.63,3682.63,621042023890
2021-11-01,4288.22,4891.70,3933.51,4631.48,4631.48,573546775953
2021-10-01,3001.13,4455.74,2978.65,4288.07,4288.07,574798423
2021-09-01,3430.76,4022.47,2676.41,3001.68,3001.68,653984909752
2021-08-01,2530.46,3466.99,2449.35,3433.73,3433.73,703006251884
2021-07-01,2274.40,2551.16,1722.05,2536.21,2536.21,591738936958
2021-06-01,2707.56,2891.25,1707.60,2274.55,2274.55,813523116983
2021-05-01,2772.84,4362.35,1737.47,2714.95,2714.95,1510329786014
2021-04-01,1919.16,2797.97,1912.18,2773.21,2773.21,995334204881
2021-03-01,1417.15,1947.84,1416.42,1918.36,1918.36,730832219123
2021-02-01,1314.86,2036.29,1274.36,1416.05,1416.05,1007718046121
2021-01-01,737.71,1466.78,718.11,1314.99,1314.99,1181644236261
2020-12-01,615.07,754.30,533.00,737.80,737.80,470673397126
2020-11-01,386.59,621.17,371.31,614.84,614.84,487476388045
2020-10-01,360.31,420.14,334.55,386.59,386.59,416749195873
2020-09-01,434.87,487.21,316.77,359.94,359.94,518354378929
2020-08-01,345.80,444.58,343.59,435.08,435.08,374122796720
2020-07-01,226.13,348.61,224.54,345.55,345.55,251431946993
2020-06-01,230.86,252.22,219.47,226.32,226.32,252220724156
2020-05-01,207.90,244.05,180.72,230.98,230.98,505693287696
2020-04-01,133.61,227.53,129.73,207.60,207.60,532158870567
2020-03-01,219.75,249.98,95.18,133.59,133.59,498921414458
2020-02-01,180.11,287.12,179.75,219.85,219.85,578092481246
2020-01-01,129.63,186.26,126.49,180.16,180.16,327976831869
2019-12-01,152.49,153.16,119.78,129.61,129.61,247117483830
2019-11-01,183.80,193.55,133.80,152.54,152.54,252844958892
2019-10-01,180.21,195.94,157.46,183.97,183.97,251679512754
2019-09-01,172.46,222.87,157.13,179.87,179.87,223404691299
2019-08-01,218.55,239.12,167.07,172.47,172.47,203391541658
2019-07-01,290.27,318.22,193.99,218.65,218.65,249663340219
2019-06-01,268.43,361.40,229.26,290.70,290.70,270589672710
2019-05-01,162.19,287.20,159.66,268.11,268.11,314349041886
2019-04-01,141.47,184.38,140.74,162.17,162.17,204556824026
2019-03-01,136.84,149.61,125.40,141.51,141.51,138882123600
2019-02-01,107.15,165.55,102.93,136.75,136.75,101430995445
2019-01-01,133.42,160.82,103.34,107.06,107.06,85054975141
2018-12-01,113.40,157.67,82.83,133.37,133.37,72329895639
2018-11-01,197.54,221.65,101.77,113.17,113.17,59375107547
2018-10-01,233.22,234.15,188.71,197.38,197.38,44459810000
2018-09-01,283.50,301.14,170.26,232.85,232.85,55203910000
2018-08-01,433.87,435.46,254.65,283.00,283.00,49073240000
2018-07-01,455.24,513.43,422.81,433.87,433.87,52395320112
2018-06-01,578.67,624.51,407.95,455.18,455.18,55077550208
2018-05-01,670.46,835.06,512.55,577.65,577.65,81752720256
2018-04-01,397.25,708.88,363.80,669.92,669.92,60669918656
2018-03-01,856.01,880.30,368.63,396.46,396.46,53716179584
2018-02-01,1119.37,1161.35,574.42,855.20,855.20,83393441152
2018-01-01,755.76,1432.88,742.00,1118.31,1118.31,163610220288
2017-12-01,445.21,881.94,414.41,756.73,756.73,79862276544
2017-11-01,308.64,522.31,294.54,447.11,447.11,26957496832
