Date,Open,High,Low,Close,Adj Close,Volume
2024-12-01,511.01,539.15,509.29,511.23,507.45,627410500
2024-11-01,485.50,515.58,484.25,509.74,505.16,567617900
2024-10-01,487.70,501.35,477.40,483.85,479.50,660176300
2024-09-01,470.66,493.70,448.19,488.07,483.68,694688500
2024-08-01,471.76,485.54,423.45,476.27,471.33,908585600
2024-07-01,480.04,503.52,454.15,471.07,466.18,801528400
2024-06-01,454.57,487.20,447.90,479.11,474.14,548332200
2024-05-01,423.15,460.58,420.63,450.71,445.32,730428700
2024-04-01,444.97,447.53,413.07,424.59,419.52,1066502500
2024-03-01,439.90,449.34,432.74,444.01,438.70,905018600
2024-02-01,418.79,440.59,417.81,439.00,433.18,865903700
2024-01-01,405.84,429.85,395.34,416.97,411.44,973043500
2023-12-01,387.75,412.92,382.66,409.52,404.09,867698300
2023-11-01,351.72,394.14,351.62,388.83,382.71,971360500
2023-10-01,358.54,373.74,342.35,350.87,345.35,1238704200
2023-09-01,380.40,380.83,351.36,358.27,352.63,960022300
2023-08-01,382.31,383.56,354.71,377.99,371.50,1202289000
2023-07-01,370.07,387.98,363.41,383.68,377.10,975077400
2023-06-01,347.73,372.85,346.66,369.42,363.08,1137978700
2023-05-01,322.09,353.93,315.12,347.99,341.55,1149238500
2023-04-01,318.77,322.65,309.89,322.56,316.59,993554700
2023-03-01,293.26,321.17,285.19,320.93,314.99,1544782600
2023-02-01,294.41,313.68,290.05,293.56,287.68,1094424800
2023-01-01,268.65,298.26,260.34,294.62,288.72,961927300
2022-12-01,293.69,296.88,259.73,266.28,260.95,1057037700
2022-11-01,281.50,293.47,259.08,293.36,286.80,1195762800
2022-10-01,269.07,284.60,254.26,277.95,271.73,1356809000
2022-09-01,296.72,311.08,267.10,267.26,261.28,1370988700
2022-08-01,313.65,334.42,298.44,299.27,292.05,1069920100
2022-07-01,278.95,316.39,276.75,315.46,307.85,1178025500
2022-06-01,310.47,314.56,269.28,280.28,273.52,1359608500
2022-05-01,312.83,330.29,280.21,308.28,300.27,1951162500
2022-04-01,362.81,369.31,312.60,313.25,305.11,1501959100
2022-03-01,345.75,371.83,317.45,362.54,353.12,1686792800
2022-02-01,364.43,370.10,318.26,346.80,337.37,1522923600
2022-01-01,399.05,402.28,334.15,363.05,353.18,1847203000
2021-12-01,398.28,404.58,377.47,397.85,387.03,1232817200
2021-11-01,386.56,408.71,384.42,393.82,382.62,922244500
2021-10-01,358.60,386.28,350.32,386.11,375.13,878747900
2021-09-01,381.04,382.78,357.10,357.96,347.78,931849900
2021-08-01,366.28,380.76,359.96,379.95,368.74,683466500
2021-07-01,354.07,368.89,352.04,364.57,353.81,813285700
2021-06-01,335.30,355.23,328.28,354.43,343.97,751288500
2021-05-01,339.23,340.00,316.00,333.93,323.70,965410800
2021-04-01,323.07,342.80,322.81,337.99,327.64,771139100
2021-03-01,319.27,324.33,297.45,319.13,309.35,1621173600
2021-02-01,318.11,338.19,310.88,314.14,304.13,795468200
2021-01-01,315.11,330.32,305.18,314.56,304.54,655263500
2020-12-01,301.97,314.69,298.09,313.74,303.74,569870600
2020-11-01,271.85,300.17,266.97,299.62,289.55,751645300
2020-10-01,281.79,297.46,267.07,269.38,260.33,936826500
2020-09-01,297.62,303.50,260.11,277.84,268.50,1325374300
2020-08-01,268.00,296.75,264.63,294.88,284.97,701414600
2020-07-01,247.64,269.79,247.08,265.79,256.86,924935100
2020-06-01,232.46,251.15,231.47,247.60,239.28,928360400
2020-05-01,214.50,233.60,211.12,233.36,225.13,846592700
2020-04-01,184.77,220.04,180.86,218.91,211.19,1092071200
2020-03-01,208.88,219.61,164.93,190.40,183.68,2191775700
2020-02-01,220.14,237.47,198.17,205.80,198.12,952392300
2020-01-01,214.40,225.88,212.24,219.07,210.89,585493500
2019-12-01,205.11,214.56,199.23,212.61,204.67,429951100
2019-11-01,197.93,206.05,197.63,205.10,197.01,351429700
2019-10-01,189.50,197.83,181.82,197.08,189.31,576983400
2019-09-01,186.22,194.71,185.03,188.81,181.37,550650200
2019-08-01,191.43,194.98,179.20,187.47,179.72,814286500
2019-07-01,190.32,195.55,188.38,191.10,183.20,494025500
2019-06-01,173.48,189.77,169.27,186.74,179.02,688730700
2019-05-01,190.78,191.32,173.87,173.95,166.39,901554000
2019-04-01,181.51,191.32,180.77,189.54,181.30,550157700
2019-03-01,174.44,182.83,169.34,179.66,171.85,781972700
2019-02-01,167.33,174.66,166.57,173.19,165.36,535964100
2019-01-01,150.99,168.99,149.49,168.16,160.56,933706100
2018-12-01,173.11,173.31,143.46,154.26,147.29,1395544900
2018-11-01,170.07,175.58,157.13,169.37,161.25,1152121500
2018-10-01,186.87,187.53,160.09,169.82,161.68,1817070600
2018-09-01,186.08,186.49,180.44,185.79,176.88,645534400
2018-08-01,176.86,187.52,175.79,186.65,177.38,667523000
2018-07-01,170.04,182.93,169.67,176.45,167.69,708010700
2018-06-01,170.92,177.98,169.17,171.65,163.13,784338200
2018-05-01,160.52,171.20,159.22,170.07,161.28,687987600
2018-04-01,158.99,167.00,153.88,160.94,152.62,987380500
2018-03-01,167.30,175.21,156.04,160.13,151.86,1085306700
2018-02-01,168.10,170.73,150.13,167.21,158.31,1179841200
2018-01-01,156.56,170.95,156.17,169.40,160.39,698394900
2017-12-01,154.20,158.77,152.06,155.76,147.47,622383900
2017-11-01,152.76,156.69,150.77,155.15,146.59,584198400
2017-10-01,145.67,152.37,144.93,152.15,143.75,549094600
2017-09-01,146.39,146.59,142.10,145.45,137.42,631562000
2017-08-01,143.72,146.21,140.18,146.20,137.83,810771900
2017-07-01,138.27,145.96,135.80,143.23,135.03,705002300
2017-06-01,141.58,143.90,136.25,137.64,129.76,1046003200
2017-05-01,136.44,141.84,135.87,141.29,132.84,532489100
2017-04-01,132.49,136.34,130.38,135.99,127.86,388248100
2017-03-01,130.85,132.74,129.40,132.38,124.46,442963500
2017-02-01,125.45,130.70,124.86,130.02,121.99,307437600
2017-01-01,119.27,125.92,118.89,124.57,116.88,366254600
2016-12-01,117.46,121.52,115.22,118.48,111.16,498414300
2016-11-01,117.19,119.51,113.45,117.50,109.92,598118400
2016-10-01,118.57,119.66,115.94,116.99,109.44,406941900
2016-09-01,116.48,119.22,113.63,118.72,111.06,540756300
2016-08-01,115.31,118.01,114.22,116.44,108.65,369269900
2016-07-01,107.49,115.54,106.57,115.23,107.53,421072300
2016-06-01,110.00,110.75,101.75,107.54,100.35,577926300
2016-05-01,105.99,110.51,104.40,110.34,102.69,536482700
2016-04-01,108.54,111.44,104.88,105.72,98.39,559253800
2016-03-01,103.48,110.04,103.16,109.20,101.63,601605100
2016-02-01,103.63,104.80,94.84,102.50,95.11,942259600
2016-01-01,109.45,110.18,97.25,104.13,96.62,1077308200
2015-12-01,114.48,115.75,109.38,111.86,103.80,757497500
2015-11-01,113.63,115.47,109.48,114.02,105.48,543413300
2015-10-01,101.94,114.08,100.48,113.33,104.84,740627700
2015-09-01,101.71,108.73,98.75,101.76,94.14,881201500
2015-08-01,111.97,113.00,84.74,104.31,96.26,1010304800
2015-07-01,108.13,114.39,105.83,111.95,103.31,644885700
2015-06-01,110.64,111.13,106.64,107.07,98.81,577030700
2015-05-01,108.05,111.08,106.00,110.05,101.32,518233500
2015-04-01,105.60,111.16,104.34,107.63,99.10,568699500
2015-03-01,108.61,109.42,104.24,105.60,97.23,633635900
2015-02-01,101.33,108.94,99.75,108.40,99.58,472456500
2015-01-01,103.76,104.58,99.36,101.10,92.87,826291600
2014-12-01,105.72,105.92,99.92,103.25,94.85,815702200
2014-11-01,101.58,106.25,100.67,106.01,97.02,434990100
2014-10-01,98.51,101.75,90.24,101.40,92.80,1285037500
2014-09-01,100.02,100.56,97.70,98.79,90.41,755958700
2014-08-01,94.82,99.91,93.89,99.78,91.10,645904800
2014-07-01,94.24,97.51,93.63,95.02,86.76,661530400
2014-06-01,91.42,94.14,90.64,93.91,85.74,567012900
2014-05-01,87.53,91.45,85.53,91.31,83.14,789193800
2014-04-01,88.10,89.68,83.28,87.39,79.58,1141398200
2014-03-01,89.49,91.36,86.40,87.67,79.83,809345400
2014-02-01,86.11,90.96,83.74,90.34,82.07,713558700
2014-01-01,87.55,89.00,84.76,86.27,78.05,831732700
