Date,Open,High,Low,Close,Adj Close,Volume
2024-12-01,602.97,609.07,580.91,586.08,576.22,1059516700
2024-11-01,571.32,603.35,567.89,602.55,590.42,901760600
2024-10-01,573.40,586.12,565.27,568.64,557.19,976068800
2024-09-01,558.35,574.71,539.44,573.76,562.21,1044988300
2024-08-01,552.57,564.20,510.27,563.68,550.64,1244599000
2024-07-01,545.63,565.16,537.45,550.81,538.07,1038465500
2024-06-01,529.02,550.28,522.60,544.22,531.63,888367600
2024-05-01,501.38,533.07,499.55,527.37,513.52,1153206200
2024-04-01,523.83,524.38,493.86,501.98,488.79,1593138200
2024-03-01,508.98,524.61,504.91,523.07,509.33,1473501100
2024-02-01,484.63,510.13,483.80,508.08,493.20,1393207200
2024-01-01,472.16,491.62,466.43,482.88,468.74,1700872500
2023-12-01,455.77,477.55,454.31,475.31,461.39,1643624300
2023-11-01,419.20,458.32,418.65,456.40,441.25,1500017100
2023-10-01,426.62,438.14,409.21,418.20,404.31,1999294400
2023-09-01,453.17,453.67,422.29,427.48,413.29,1588981600
2023-08-01,456.27,457.25,433.01,450.35,433.87,1754892500
2023-07-01,442.92,459.44,437.06,457.79,441.03,1374698500
2023-06-01,418.09,444.30,416.79,443.28,427.06,1749901500
2023-05-01,415.47,422.58,403.74,417.85,401.07,1780909100
2023-04-01,408.85,415.94,403.78,415.93,399.22,1395780500
2023-03-01,395.41,409.70,380.65,409.39,392.95,2515995800
2023-02-01,405.21,418.31,393.64,396.26,378.90,1603094700
2023-01-01,384.37,408.16,377.83,406.48,388.67,1575450100
2022-12-01,408.77,410.49,374.77,382.43,365.67,1735973600
2022-11-01,390.14,407.68,368.79,407.68,388.04,1745985300
2022-10-01,361.08,389.52,348.11,386.21,367.60,2024732000
2022-09-01,392.89,411.73,357.04,357.18,339.97,1998908600
2022-08-01,409.15,431.73,395.04,395.18,374.60,1443394400
2022-07-01,376.56,413.03,371.04,411.99,390.53,1437748800
2022-06-01,415.17,417.44,362.17,377.25,357.60,1958611900
2022-05-01,412.07,429.66,380.54,412.93,389.74,2418478100
2022-04-01,453.31,457.83,411.21,412.00,388.86,1856757400
2022-03-01,435.04,462.07,415.12,451.64,426.28,2380929500
2022-02-01,450.68,458.12,410.64,436.63,410.83,2297975100
2022-01-01,476.30,479.98,420.76,449.91,423.33,2485167800
2021-12-01,461.64,479.00,448.92,474.96,446.90,1927433900
2021-11-01,460.30,473.54,455.30,456.56,427.14,1335351500
2021-10-01,430.98,459.56,426.36,459.25,430.60,1508665300
2021-09-01,452.56,454.05,428.78,429.14,402.37,1745559200
